text,year,month,day,hour,minute,second,week_name,week_num,num_of_day,num_of_week
"   13時19分 ラーメン二郎 仙台 店 並び9人です。  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/MDskwFWkNU"">pic.twitter.com/MDskwFWkNU",2017,10,6,13,19,40,Fri,5,279,40
"ラーメン二郎  仙台 店 只今の並びは8人！今日は並び少ないです。12:50       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/KsPp4q7RI7"">pic.twitter.com/KsPp4q7RI7",2017,10,5,12,50,37,Thu,4,278,40
    仙台 店、18:47時点で12人。プラス鍋の人。,2017,10,3,18,47,27,Tue,2,276,40
ラーメン二郎 仙台 店 曇 並び2人 13:58    ,2017,10,3,13,58,52,Tue,2,276,40
    仙台  開店前15人程(11:05),2017,10,3,11,5,37,Tue,2,276,40
    仙台 店 1851 外待ち57名 明日、マラソン大会があり、全国からの集団との事です,2017,9,30,18,51,3,Sat,6,273,39
"    仙台 店  1830 外待ち100名以上o(^_^)o  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/un3NUi2lAf"">pic.twitter.com/un3NUi2lAf",2017,9,30,18,33,34,Sat,6,273,39
    仙台 \u3000外40人\u30001337,2017,9,30,13,37,52,Sat,6,273,39
    仙台 点1100約20人,2017,9,30,10,59,30,Sat,6,273,39
ラーメン二郎 仙台 店 晴 並び26人 12:49    ,2017,9,29,12,49,40,Fri,5,272,39
    仙台 店 ただいま待ちなし 天候小雨 つけ麺は終了,2017,9,28,13,26,30,Thu,4,271,39
"ラーメン二郎  仙台 店 只今の並びはヅラの大先輩 黒糖さん含め約20人！18:07       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/YLfyRvSVCL"">pic.twitter.com/YLfyRvSVCL",2017,9,27,18,7,42,Wed,3,270,39
"ラーメン二郎  仙台 店 只今の並びは35人！12:41      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/zTMN5WRcOl"">pic.twitter.com/zTMN5WRcOl",2017,9,24,12,41,40,Sun,0,267,39
ラーメン二郎 仙台  晴時々曇 並び4人 11:03    ,2017,9,22,11,3,25,Fri,5,265,38
"ラーメン二郎  仙台 店 只今の並びは20人！12:13      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/iVDPpY6ZgF"">pic.twitter.com/iVDPpY6ZgF",2017,9,20,12,13,29,Wed,3,263,38
   ラーメン二郎 仙台 店 外18人待ち 1319,2017,9,19,13,19,27,Tue,2,262,38
ラーメン二郎 仙台 店 晴 並び18人 12:41    ,2017,9,19,12,41,37,Tue,2,262,38
    仙台 店 1137に昼の部開店、開店待ちは２５くらい 待っている間の陽射しがきついですね…,2017,9,19,11,39,37,Tue,2,262,38
"ラーメン二郎  仙台 店 只今の並びは53人！12:36      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/pa5QZIc3tA"">pic.twitter.com/pa5QZIc3tA",2017,9,16,12,37,3,Sat,6,259,37
"    仙台  二郎 25人くらい人 1730 小豚しょうがニンニク少しアブラ  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/jNdOOHGeXF"">pic.twitter.com/jNdOOHGeXF",2017,9,15,17,30,14,Fri,5,258,37
"    仙台  二郎 開店待ち 11人 1645  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/BZqEweTPg9"">pic.twitter.com/BZqEweTPg9",2017,9,15,16,45,20,Fri,5,258,37
ラーメン二郎 仙台 店 曇 並び16人 14:07    ,2017,9,15,14,7,36,Fri,5,258,37
"    仙台  1102 開店前11名程  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/j9U9wmZd9U"">pic.twitter.com/j9U9wmZd9U",2017,9,15,11,2,57,Fri,5,258,37
"    仙台 店 14:10 10人の並び  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/RyGDXDaa45"">pic.twitter.com/RyGDXDaa45",2017,9,14,14,12,16,Thu,4,257,37
"ラーメン二郎  仙台 店 只今の並びは23人！13:57       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/OZDPOvTQIZ"">pic.twitter.com/OZDPOvTQIZ",2017,9,12,13,58,0,Tue,2,255,37
"ラーメン二郎  仙台 店 只今の並びは見事に男ばかり23人！13:27        <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/T7qOmx7K4F"">pic.twitter.com/T7qOmx7K4F",2017,9,9,13,27,27,Sat,6,252,36
ラーメン二郎 仙台 店 晴時々曇 並び22人 12:03    ,2017,9,8,12,4,21,Fri,5,251,36
    仙台 店、18:37時点で7人です。雨です。,2017,9,7,18,37,54,Thu,4,250,36
"ラーメン二郎  仙台 店 雨の中只今の並びは10人！13:24      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/beCyrUyevx"">pic.twitter.com/beCyrUyevx",2017,9,7,13,24,26,Thu,4,250,36
    仙台 店 開店前15人ほど 東京へ戻るバスの車内よりチラ見。,2017,9,7,11,28,9,Thu,4,250,36
    仙台 二郎 30名ほど 新人助手？の不慣れなオペに原田氏イライラ,2017,9,6,17,49,54,Wed,3,249,36
    仙台 店、17:45時点で9人です。,2017,9,5,17,47,45,Tue,2,248,36
"    仙台  待ち26人  <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""https://twitter.com/hashtag/%E4%BB%99%E5%8F%B0?src=hash"">#仙台",2017,9,5,13,1,16,Tue,2,248,36
    仙台 二郎 1640 並び10人,2017,9,2,16,41,29,Sat,6,245,35
"ラーメン二郎  仙台 店 只今の並びは13人！>_< 10:46       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/XWI3f9hmx0"">pic.twitter.com/XWI3f9hmx0",2017,9,2,10,46,45,Sat,6,245,35
ラーメン二郎 仙台 店 晴 並び31人 13:54    ,2017,9,1,13,54,46,Fri,5,244,35
"ラーメン二郎  仙台 店 只今の並びは13人！17:40      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/gQFLLDdTvV"">pic.twitter.com/gQFLLDdTvV",2017,8,30,17,40,46,Wed,3,242,35
    仙台 \u3000開店待ち\u300015人ぐらい\u30001120 小雨,2017,8,30,11,20,3,Wed,3,242,35
   \u3000 仙台 \u3000開店待ち\u3000並び15人ぐらい\u30001651 \u3000そんなに暑くない,2017,8,29,16,51,49,Tue,2,241,35
ラーメン二郎 仙台 店 晴 並び16人 13:10    ,2017,8,29,13,10,32,Tue,2,241,35
    仙台 店 開店前11:15 15人,2017,8,29,11,14,2,Tue,2,241,35
"ラーメン二郎  仙台 店 只今の並びは7人！この時間は並び少ないです！15:50       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/c1Eqi8mdFx"">pic.twitter.com/c1Eqi8mdFx",2017,8,27,15,50,13,Sun,0,239,35
    仙台 五十人超え 1235現在,2017,8,27,12,35,31,Sun,0,239,35
    仙台 二郎20分遅れで開門,2017,8,27,11,52,58,Sun,0,239,35
     11:30  仙台 二郎 三十人越え、交差点の角曲がった先まで  なお給湯器故障でスタート遅れるとの告知,2017,8,27,11,35,0,Sun,0,239,35
仙台 店、午前10時40分現在で並び２人。  ,2017,8,25,10,40,0,Fri,5,237,34
"ラーメン二郎  仙台 店 やや強めの雨の中、只今の並びは15人！13:35      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/fTU43glkcf"">pic.twitter.com/fTU43glkcf",2017,8,24,13,35,17,Thu,4,236,34
   18:19  仙台  約30人待ち(不動産屋の手前まで),2017,8,23,18,19,54,Wed,3,235,34
   11:39  仙台  開店直後初回入店分以降約30人待ち つけ麺あり,2017,8,23,11,39,21,Wed,3,235,34
ラーメン二郎 仙台 店 晴 並び16人 11:00    ,2017,8,23,11,0,44,Wed,3,235,34
"開店前8人待ち 1045     (@ ラーメン二郎  仙台 店 -  <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""769432851443879936"" dir=""ltr"" href=""https://twitter.com/jiro_sendai1023"">@jiro_sendai1023  in  仙台 市 宮城県)  <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.swarmapp.com/c/fuJN7cweu4M"" dir=""ltr"" href=""https://t.co/uwnOdpJ6U8"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.swarmapp.com/c/fuJN7cweu4M""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">swarmapp.com/c/fuJN7cweu4M</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span>",2017,8,22,10,45,13,Tue,2,234,34
    仙台 店、14:24時点で30人くらいです。不動産屋さん入口辺りです。,2017,8,19,14,24,38,Sat,6,231,33
    仙台 店、どのような混み具合か御存知の方いらっしゃいますか？,2017,8,19,13,19,28,Sat,6,231,33
    仙台 交差点まで,2017,8,19,12,15,59,Sat,6,231,33
    仙台  1155 給湯器故障でまだ開店してません…,2017,8,18,11,57,31,Fri,5,230,33
"ラーメン二郎  仙台 店只今の並びは56人！11:49      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/06v9wQ40pv"">pic.twitter.com/06v9wQ40pv",2017,8,18,11,49,23,Fri,5,230,33
"    仙台  開店待ち2 1030  <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""https://twitter.com/hashtag/%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E4%BA%8C%E9%83%8E?src=hash"">#ラーメン二郎   <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""https://twitter.com/hashtag/%E4%BA%8C%E9%83%8E%E8%A1%8C%E5%88%97%E3%83%81%E3%82%A7%E3%83%83%E3%82%AB%E3%83%BC?src=hash"">#二郎行列チェッカー",2017,8,18,10,29,41,Fri,5,230,33
    仙台 1111開店前30人待ち,2017,8,17,11,11,53,Thu,4,229,33
えぇー！？ もしや、 仙台 店Tシャツ着てた方でしょうか？,2017,8,16,15,18,32,Wed,3,228,33
"    仙台 二郎 ご存知の通り16日までお休みです。ウィットに富み、かつ知らずに来たお客さんに代案を提案する貼り紙、素敵です(*´ω｀*)。  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/kxmKlux9no"">pic.twitter.com/kxmKlux9no",2017,8,15,20,12,24,Tue,2,227,33
"ラーメン二郎  仙台 店 本日の営業は終了しました。(営業終了後の麺豚販売の並びは22人です)17:25      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/uxxTdiJ9zA"">pic.twitter.com/uxxTdiJ9zA",2017,8,6,17,25,29,Sun,0,218,32
   ラーメン二郎 仙台 店\u3000 お盆前の最終営業日 16:55\u3000並び45人横断歩道前 別な列の麺と豚の販売の列も30人程,2017,8,6,16,56,32,Sun,0,218,32
"    ラーメン二郎 仙台 店 14:42 信号機越え65人待ち  本日の営業は17:00まで、その後に豚麺販売です。タッパをご持参でいらして下さい。  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/vWKeAGZWxj"">pic.twitter.com/vWKeAGZWxj",2017,8,6,14,42,1,Sun,0,218,32
"    仙台 店、12:00、外待ち70人以上 信じられない行列です！！！  <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""https://twitter.com/hashtag/%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E4%BA%8C%E9%83%8E?src=hash"">#ラーメン二郎",2017,8,6,12,3,18,Sun,0,218,32
ラーメン二郎 仙台 店 曇(雨?) 並び50人 12:09     ,2017,8,4,12,9,44,Fri,5,216,31
"ラーメン二郎  仙台 店 只今の並びは大御所Tさん含め35人！18:50        <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/6IdM6jfUYX"">pic.twitter.com/6IdM6jfUYX",2017,8,3,18,51,3,Thu,4,215,31
    仙台 店 1928不動産越え交差点,2017,8,2,19,27,42,Wed,3,214,31
    仙台 店16人待ち,2017,8,2,13,39,13,Wed,3,214,31
"ラーメン二郎  仙台 店 只今の並びは40人！13:15      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/HAURRKtxls"">pic.twitter.com/HAURRKtxls",2017,8,1,13,15,52,Tue,2,213,31
"ラーメン二郎  仙台 店 只今の並びは35人！ 仙台 店 日曜日の営業は19時30分までです。ご来店予定の方はお早めにお願いします。17:40       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/mQWU20GoLt"">pic.twitter.com/mQWU20GoLt",2017,7,30,17,40,52,Sun,0,211,31
"    ラーメン二郎  仙台 店 14:38 17人待ち 日曜日は通し営業で19:30までの営業です。  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/eJyyDwCCZ9"">pic.twitter.com/eJyyDwCCZ9",2017,7,30,14,39,7,Sun,0,211,31
"    <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""https://twitter.com/hashtag/%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E4%BA%8C%E9%83%8E?src=hash"">#ラーメン二郎   <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""https://twitter.com/hashtag/%E4%BA%8C%E9%83%8E%E8%A1%8C%E5%88%97%E3%83%81%E3%82%A7%E3%83%83%E3%82%AB%E3%83%BC?src=hash"">#二郎行列チェッカー   仙台 店 4人 待ち 12:27  1人席がたくさんあるので1人だと優先的に入れる",2017,7,29,12,28,30,Sat,6,210,30
"ラーメン二郎  仙台 店 只今の並びは18人！ 仙台 店昼の部は14時30分までです。間も無く昼の部終了です。ご来店予定の方はお早めにお願いします。14:26       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/awgvdcbxKU"">pic.twitter.com/awgvdcbxKU",2017,7,28,14,26,20,Fri,5,209,30
"    仙台 店 並び12人 1846  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/TKFnFeClWR"">pic.twitter.com/TKFnFeClWR",2017,7,27,18,47,16,Thu,4,208,30
    仙台 店 並び激しめ 不動産屋越え,2017,7,26,19,25,10,Wed,3,207,30
"    仙台 店 11:46 外に17人の並び  つけ麺やってます <img alt=""❗"" aria-label=""Emoji: 赤いビックリマーク"" class=""Emoji Emoji--forText"" draggable=""false"" src=""./  仙台 - Twitter検索_files/2757.png"" title=""赤いビックリマーク""/>",2017,7,26,11,47,33,Wed,3,207,30
    仙台 店\u300019:17\u3000待ち19人 店主麺上げ\u3000天候曇り つけ麺、汁なしはないもよう,2017,7,25,19,18,38,Tue,2,206,30
"ラーメン二郎  仙台 店只今の並びは19人！12:36      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/n9mKaJHyzw"">pic.twitter.com/n9mKaJHyzw",2017,7,25,12,36,57,Tue,2,206,30
   ラーメン二郎 仙台 店、開店時約30人待ち。つけ麺は平日しかやらないのかな？本日昼はつけ麺なし。,2017,7,22,11,27,29,Sat,6,203,29
   ラーメン二郎 仙台 店、開店1時間30分前5人待ち。,2017,7,22,10,7,7,Sat,6,203,29
ラーメン二郎 仙台 店 晴 並び10人 13:58    ,2017,7,21,13,58,48,Fri,5,202,29
ラーメン二郎 仙台 店 曇 並び14人 12:56    ,2017,7,18,12,56,53,Tue,2,199,29
"    仙台 店 12:10  JK含む12人の並び つけ麺やってます <img alt=""❗"" aria-label=""Emoji: 赤いビックリマーク"" class=""Emoji Emoji--forText"" draggable=""false"" src=""./  仙台 - Twitter検索_files/2757.png"" title=""赤いビックリマーク""/>  つけ麺やってます <img alt=""❗"" aria-label=""Emoji: 赤いビックリマーク"" class=""Emoji Emoji--forText"" draggable=""false"" src=""./  仙台 - Twitter検索_files/2757.png"" title=""赤いビックリマーク""/>   大事な事なんで二度w",2017,7,18,12,13,48,Tue,2,199,29
   1230  仙台  26人待ち,2017,7,15,12,29,52,Sat,6,196,28
ラーメン二郎 仙台 店 晴 並び5人 14:24    ,2017,7,13,14,25,7,Thu,4,194,28
    仙台 店、19:41現在、21人です。つけ麺は昼だけだそうです。店長いました。,2017,7,12,19,42,42,Wed,3,193,28
"     ラーメン二郎  仙台 店  12:41 16人待ち  今日もつけ麺有ります <img alt=""❗️"" aria-label=""Emoji: 赤いビックリマーク"" class=""Emoji Emoji--forText"" draggable=""false"" src=""./  仙台 - Twitter検索_files/2757.png"" title=""赤いビックリマーク""/>   繰り返します。  つけ麺有ります <img alt=""‼️"" aria-label=""Emoji: !!マーク"" class=""Emoji Emoji--forText"" draggable=""false"" src=""./  仙台 - Twitter検索_files/203c.png"" title=""!!マーク""/>   <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/AE2wYIYibd"">pic.twitter.com/AE2wYIYibd",2017,7,12,12,41,28,Wed,3,193,28
"ラーメン二郎  仙台 店 只今の並びは8人！本日つけ麺あります！12:57       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ZjIPF6yuL0"">pic.twitter.com/ZjIPF6yuL0",2017,7,11,12,57,16,Tue,2,192,28
    仙台 二郎開店待ちならび20くらい。1115,2017,7,11,11,17,0,Tue,2,192,28
"ラーメン二郎  仙台 店 只今の並びはピッタリ30人！18:16      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/2WGvykoKeD"">pic.twitter.com/2WGvykoKeD",2017,7,9,18,16,48,Sun,0,190,28
    仙台 店、外25人待ちです,2017,7,9,18,5,17,Sun,0,190,28
"ラーメン二郎  仙台 店 只今の並びはあの方も含め10人！本日汁なし有ます！12:54      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/oNh5OaLcBe"">pic.twitter.com/oNh5OaLcBe",2017,7,6,12,54,17,Thu,4,187,27
    仙台 店並びどうですか,2017,7,5,18,11,45,Wed,3,186,27
    仙台 店、18:45現在、19人待ち。,2017,7,4,18,46,8,Tue,2,185,27
    仙台 店 1730 待ち５、汁なしありとのこと 雲が厚いものの、いまは雨は上がっています,2017,7,4,17,30,58,Tue,2,185,27
    ラーメン二郎 仙台 店 天候雨\u3000並び12人チャンス,2017,7,4,12,10,35,Tue,2,185,27
    仙台 2143 麺豚購入列8人,2017,7,1,21,43,39,Sat,6,182,26
    仙台  19:04  約３０人待ち,2017,6,30,19,4,32,Fri,5,181,26
.     仙台 12:43曇り 並び20人,2017,6,30,12,43,40,Fri,5,181,26
.     仙台 20:58曇り 並び19人,2017,6,29,20,59,20,Thu,4,180,26
"     ラーメン二郎  仙台 店  今日は汁なし有ります。  13:38 12人待ち  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/7BAhT71QEM"">pic.twitter.com/7BAhT71QEM",2017,6,29,13,38,50,Thu,4,180,26
    仙台 店 13:00 ざっと２０人の並び 日差しありますが気持ち良い風もふいてます,2017,6,29,13,0,23,Thu,4,180,26
"ラーメン二郎  仙台 店 開店49分前 只今の並びは4人！10:41       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ZTBOOe7WOp"">pic.twitter.com/ZTBOOe7WOp",2017,6,29,10,41,41,Thu,4,180,26
    仙台 店\u3000 公式閉店時刻21:00\u300018人待ち,2017,6,27,21,7,28,Tue,2,178,26
"ラーメン二郎  仙台 店 只今の並びは25人！12:21       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/7CCDNQbn5m"">pic.twitter.com/7CCDNQbn5m",2017,6,27,12,21,42,Tue,2,178,26
"ラーメン二郎  仙台 店 只今の並びは25人！17:40      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/URZdEHn45X"">pic.twitter.com/URZdEHn45X",2017,6,24,17,40,23,Sat,6,175,25
ラーメン二郎 仙台 店 雨 並び16人 12:09    ,2017,6,21,12,9,21,Wed,3,172,25
"ラーメン二郎  仙台 店 只今の並びはあの方とあの方含め14人！10:47       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/usc898wyQ7"">pic.twitter.com/usc898wyQ7",2017,6,21,10,47,39,Wed,3,172,25
    仙台 店、19:56時点で37人です。,2017,6,16,19,57,9,Fri,5,167,24
ラーメン二郎 仙台 店 晴 並び28人位 汁なし有り13:19   ,2017,6,16,13,19,26,Fri,5,167,24
"    仙台 店40人オーバー\u3000小雨\u3000不動産屋前まで  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/qDhGM8MZ2w"">pic.twitter.com/qDhGM8MZ2w",2017,6,15,18,42,7,Thu,4,166,24
   18:13 仙台 店\u3000並び32人\u3000団体多数なるも汁なしやってます,2017,6,15,18,13,34,Thu,4,166,24
"ラーメン二郎  仙台 店 只今の並びは21人！本日「汁なし」やっていません！>_< 13:20      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/PgUxwrB97D"">pic.twitter.com/PgUxwrB97D",2017,6,15,13,20,36,Thu,4,166,24
    仙台 店、20:07時点で50人です。不動産屋さんのところです。 店長います。先程時間間違えました、ごめんなさい。,2017,6,14,20,8,58,Wed,3,165,24
ラーメン二郎 仙台 店 晴時々曇 並び16人 11:07    ,2017,6,14,11,7,41,Wed,3,165,24
    仙台 店 汁なしあり！,2017,6,13,16,51,29,Tue,2,164,24
"ラーメン二郎  仙台 店 只今の並びは約20にん！13:07      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ayAQNUNH5B"">pic.twitter.com/ayAQNUNH5B",2017,6,13,13,7,27,Tue,2,164,24
    仙台 店 訂正です 汁なしありました,2017,6,13,12,10,19,Tue,2,164,24
    仙台 店 約５０人 13:05,2017,6,11,13,9,9,Sun,0,162,24
ラーメン二郎 仙台 店 薄曇 並び18人 17:14    ,2017,6,9,17,14,26,Fri,5,160,23
